Flake ID,True Labels,Predicted Labels
MIBR10_013,1,1
LABO3_001,1,0
MIBR93_009,2,0
ANPO1_017,2,2
MIBR46_019,1,1
MIBR166_009,2,2
LABO55_012,2,1
3_011,0,0
MIBR09_001,1,1
MIBR45_023,1,1
MIBR09_021,1,1
LABO3_011,1,1
LABO29_002,1,0
JAPE1_016,2,2
MIBR10_028,1,1
MIBR10_010,1,1
MIBR11_026,1,1
MIBR82_032,1,0
MIBR166_023,2,2
MIBR70_008,2,2
3_003,0,0
LABO55_006,2,2
MIBR78_007,1,1
LABO3_041,1,0
LABO29_020,1,1
LABO55_022,2,2
MIBR82_003,1,0
JAPE1_004,2,2
MIBR108_004,1,0
5_017,0,0
LABO55_015,2,2
MIBR64_005,2,2
MIBR166_008,2,2
MIBR82_037,0,0
MIBR64_022,2,2
ANPO1_002,2,2
MIBR09_041,1,2
7_012,0,0
MIBR166_039,2,1
MIBR23_008,0,0
MIBR45_015,1,1
6_011,0,0
MIBR82_022,1,1
ANPO1_019,2,2
MIBR43_023,1,1
MIBR82_004,1,1
6_003,0,0
7_007,0,0
MIBR80_012,1,1
2_001,0,0
MIBR64_014,2,2
MIBR78_005,1,1
MIBR45_016,1,1
9_001,0,0
MIBR09_028,1,1
MIBR10_008,1,1
MIBR82_036,0,1
MIBR44_014,1,1
MIBR45_026,1,1
MIBR46_029,1,1
LABO29_031,1,2
7_010,0,0
MIBR11_015,1,1
JAPE1_005,2,2
MIBR70_007,2,2
MIBR26_008,0,0
MIBR44_012,1,0
MIBR46_038,1,1
10_002,0,0
MIBR10_012,1,1
LABO3_032,1,1
MIBR68_004,2,1
MIBR63_017,2,2
ANPO1_010,2,2
MIBR46_041,1,0
JAPE1_012,2,2
LABO3_037,1,2
MIBR78_012,1,0
MIBR16_015,1,1
MIBR28_016,0,0
LABO30_003,1,0
ANPO1_023,2,2
LABO30_030,1,1
MIBR45_008,1,1
MIBR11_034,1,1
8_005,0,0
MIBR11_031,1,1
ANPO1_001,2,2
MIBR09_032,1,1
MIBR27_010,0,1
MIBR44_007,1,0
MIBR82_039,0,0
MIBR78_018,1,1
LABO3_007,1,0
LABO55_019,2,2
MIBR78_032,0,0
MIBR77_011,1,1
MIBR09_002,1,2
MIBR16_012,1,2
5_011,0,0
MIBR11_016,1,1
LABO25_006,0,1
LABO3_031,1,1
MIBR68_008,2,2
4_002,0,0
LABO3_008,1,0
MIBR82_020,1,1
JAPE1_019,2,1
LABO29_035,1,1
LABO55_001,2,0
LABO30_008,1,0
MIBR108_027,1,2
MIBR46_012,1,2
MIBR166_001,2,2
MIBR26_010,0,0
MIBR166_028,2,2
MIBR93_001,2,0
7_013,0,0
MIBR11_019,1,1
10_001,0,0
MIBR27_004,0,0
JAPE1_002,2,2
